Identifier,DISTRICT NAME:कृपया अपना विवरण चुनें,gender,1a_grit_localtravel,1b_grit_localtravel,2a_grit_errands,2b_grit_errands,3a_grit_publicspeaking,3b_grit_publicspeaking,4a_grit_discussion,4b_grit_discussion,5a_grit_persevered,5b_grit_persevered,6a_tnt_extraleadership,6b_tnt_extraleadership,7a_tnt_newskill,7b_tnt_newskill,8a_tnt_helpingothers,8b_tnt_helpingothers,9a_tnt_risktaking,9b_tnt_risktaking,10a_tnt_project,10b_tnt_project
,UTTARKASHI,लड़का,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,(a) हाँ,
,UTTARKASHI,लड़का,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,(b) नहीं,(b) मन नहीं था
693,CHAMOLI,लड़की,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,(a) हाँ,
694,UTTARKASHI,लड़की,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,(d) नहीं,(b) मन नहीं था,"(b) हाँ, कभी-कभी",,(a) हाँ,
,CHAMOLI,लड़का,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,(a) हाँ,
,CHAMOLI,लड़का,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(b) हाँ, कभी-कभी",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(b) हाँ, कभी-कभी",,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,"(c) हाँ, एक या दो बार",,(b) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला
695,UTTARKASHI,लड़की,(d) नहीं,"(d) परिवार, बुज़ुर्ग, शिक्षक आदि ने अनुमति नहीं दी","(c) हाँ, एक या दो बार",,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,(a) हाँ,
696,CHAMOLI,लड़की,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,"(c) हाँ, एक या दो बार",,(d) नहीं,"(d) परिवार, बुज़ुर्ग, शिक्षक आदि ने अनुमति नहीं दी","(c) हाँ, एक या दो बार",,(b) नहीं,(b) मन नहीं था
697,UTTARKASHI,लड़की,(d) नहीं,(b) मन नहीं था,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,(d) नहीं,"(d) परिवार, बुज़ुर्ग, शिक्षक आदि ने अनुमति नहीं दी",(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,(a) हाँ,
,CHAMOLI,लड़का,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,(a) हाँ,
698,UTTARKASHI,लड़की,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,(d) नहीं,(b) मन नहीं था,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,(a) हाँ,
,CHAMOLI,लड़का,(d) नहीं,"(d) परिवार, बुज़ुर्ग, शिक्षक आदि ने अनुमति नहीं दी","(a) हाँ, बहुत बार",,(d) नहीं,(b) मन नहीं था,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,"(a) हाँ, बहुत बार",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,(b) नहीं,(b) मन नहीं था
699,UTTARKASHI,लड़की,"(b) हाँ, कभी-कभी",,(d) नहीं,"(d) परिवार, बुज़ुर्ग, शिक्षक आदि ने अनुमति नहीं दी","(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,(a) हाँ,
,CHAMOLI,लड़का,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,(a) हाँ,
700,UTTARKASHI,लड़की,"(b) हाँ, कभी-कभी",,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,"(b) हाँ, कभी-कभी",,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,"(a) हाँ, बहुत बार",,(a) हाँ,
,BAGESHWAR,लड़का,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,(a) हाँ,
701,UTTARKASHI,लड़की,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,(a) हाँ,
702,CHAMOLI,लड़की,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,(a) हाँ,
703,CHAMOLI,लड़की,(d) नहीं,(b) मन नहीं था,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,(d) नहीं,(b) मन नहीं था,"(b) हाँ, कभी-कभी",,(d) नहीं,(b) मन नहीं था,"(b) हाँ, कभी-कभी",,(d) नहीं,(b) मन नहीं था,"(b) हाँ, कभी-कभी",,(a) हाँ,
,CHAMOLI,लड़का,(d) नहीं,"(d) परिवार, बुज़ुर्ग, शिक्षक आदि ने अनुमति नहीं दी",(d) नहीं,"(d) परिवार, बुज़ुर्ग, शिक्षक आदि ने अनुमति नहीं दी",(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,(d) नहीं,"(d) परिवार, बुज़ुर्ग, शिक्षक आदि ने अनुमति नहीं दी","(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,(b) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला
704,CHAMOLI,लड़की,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,"(a) हाँ, बहुत बार",,(a) हाँ,
705,UTTARKASHI,लड़की,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,(a) हाँ,
